cycle,capacity,SOH
3,1.161084819,0.58054241
4,1.252939305,0.626469653
5,1.302918002,0.651459001
6,1.321877321,0.660938661
7,1.288469442,0.644234721
10,1.619729734,0.809864867
11,1.604655812,0.802327906
12,1.625569977,0.812784989
13,1.590096731,0.795048366
14,1.57394023,0.786970115
15,1.571130335,0.785565168
16,1.589770615,0.794885308
17,1.625737877,0.812868939
19,1.614381676,0.807190838
20,1.586974534,0.793487267
21,1.581835557,0.790917779
25,1.642017903,0.821008952
26,1.638181079,0.81909054
27,1.642289251,0.821144626
29,1.63265593,0.816327965
30,1.626088811,0.813044406
31,1.607929296,0.803964648
32,1.612536111,0.806268056
33,1.621838417,0.810919209
34,1.614544303,0.807272152
35,1.595395892,0.797697946
36,1.587724303,0.793862152
37,1.581184058,0.790592029
38,1.612842261,0.806421131
39,1.619986063,0.809993032
40,1.609938185,0.804969093
41,1.577097754,0.788548877
42,1.570859907,0.785429954
43,1.626158135,0.813079068
44,1.634812997,0.817406499
45,1.611705364,0.805852682
48,1.624189346,0.812094673
49,1.604172099,0.80208605
50,1.608001674,0.804000837
51,1.625675214,0.812837607
52,1.617632766,0.808816383
53,1.597319149,0.798659575
54,1.587585225,0.793792613
55,1.580253002,0.790126501
56,1.58303653,0.791518265
57,1.602713883,0.801356942
58,1.593070915,0.796535458
59,1.544888869,0.772444435
60,1.535218857,0.767609429
61,1.525267731,0.762633866
62,1.555949201,0.777974601
63,1.564802944,0.782401472
64,1.551862046,0.775931023
65,1.514455055,0.757227528
66,1.50519362,0.75259681
67,1.60582397,0.802911985
68,1.62490052,0.81245026
69,1.58978513,0.794892565
70,1.555238615,0.777619308
71,1.539756405,0.769878203
72,1.5293174,0.7646587
73,1.547680554,0.773840277
74,1.565992094,0.782996047
75,1.541625285,0.770812643
76,1.517590656,0.758795328
77,1.507520204,0.753760102
78,1.495492826,0.747746413
79,1.499761881,0.749880941
80,1.490696681,0.745348341
81,1.480099943,0.740049972
82,1.46760915,0.733804575
83,1.472981849,0.736490925
84,1.474287214,0.737143607
85,1.463516281,0.731758141
86,1.452709568,0.726354784
87,1.455730385,0.727865193
88,1.4597401,0.72987005
89,1.448711504,0.724355752
90,1.466675976,0.733337988
91,1.468950211,0.734475106
92,1.471116589,0.735558295
93,1.447301236,0.723650618
94,1.420531555,0.710265778
95,1.424146609,0.712073305
96,1.441282008,0.720641004
97,1.444896539,0.72244827
98,1.454025635,0.727012818
99,1.422603045,0.711301523
100,1.410196955,0.705098478
101,1.41448813,0.707244065
102,1.431360033,0.715680017
103,1.451513324,0.725756662
104,1.423037676,0.711518838
105,1.396298696,0.698149348
106,1.397906073,0.698953037
107,1.401134756,0.700567378
108,1.436782529,0.718391265
109,1.437000688,0.718500344
110,1.410355528,0.705177764
111,1.382633398,0.691316699
112,1.369940358,0.684970179
113,1.378612933,0.689306467
115,1.423442429,0.711721215
116,1.394600389,0.697300195
117,1.396161399,0.6980807
118,1.384968608,0.692484304
119,1.371511474,0.685755737
120,1.361686508,0.680843254
121,1.379630136,0.689815068
122,1.364231776,0.682115888
123,1.341841451,0.670920726
124,1.35522157,0.677610785
125,1.340386026,0.670193013
126,1.359407891,0.679703946
127,1.345710086,0.672855043
128,1.347761142,0.673880571
129,1.335482103,0.667741052
130,1.353154942,0.676577471
131,1.370967771,0.685483886
132,1.357426672,0.678713336
133,1.344367882,0.672183941
134,1.330058239,0.66502912
135,1.403364186,0.701682093
136,1.386557095,0.693278548
137,1.370413818,0.685206909
138,1.325319394,0.662659697
139,0.843968499,0.42198425
148,1.461469789,0.730734895
149,1.415099955,0.707549978
150,1.383632374,0.691816187
151,1.370540289,0.685270145
152,1.355704257,0.677852129
153,1.357838579,0.67891929
154,1.360908398,0.680454199
155,1.349562655,0.674781328
156,1.188887713,0.594443857
157,1.504149393,0.752074697
158,1.489908864,0.744954432
159,1.475330179,0.73766509
160,1.459830765,0.729915383
161,1.447416906,0.723708453
162,1.467632367,0.733816184
163,1.441552493,0.720776247
164,1.418392874,0.709196437
165,1.403182484,0.701591242
166,1.391110466,0.695555233
167,1.408601996,0.704300998
168,1.41377089,0.706885445
169,1.412472235,0.706236118
170,1.383190003,0.691595002
171,1.364609811,0.682304906
172,1.369751366,0.684875683
173,1.386794691,0.693397346
174,1.391861588,0.695930794
175,1.377162352,0.688581176
176,1.359952536,0.679976268
177,1.379779043,0.689889522
178,1.363137366,0.681568683
179,1.365229523,0.682614762
180,1.349862069,0.674931035
181,1.352950417,0.676475209
182,1.353574054,0.676787027
183,1.343222518,0.671611259
184,1.341208177,0.670604089
185,1.327738997,0.663869499
186,1.3297789,0.66488945
187,1.335604503,0.667802252
188,1.317748969,0.658874485
189,1.317605472,0.658802736
190,1.318527952,0.659263976
191,1.321539727,0.660769864
192,1.304661537,0.652330769
193,1.328032477,0.664016239
194,1.363454977,0.681727489
195,1.329131675,0.664565838
196,1.312420109,0.656210055
197,1.31528255,0.657641275
