cycle,capacity,SOH
5,1.469456232,0.734728116
6,1.458955459,0.72947773
7,1.455685356,0.727842678
8,1.456232262,0.728116131
9,1.444059224,0.722029612
10,1.428294265,0.714147133
11,1.419984895,0.709992448
12,1.404322602,0.702161301
13,1.42343513,0.711717565
14,1.433994886,0.716997443
15,1.418517705,0.709258853
16,1.405631334,0.702815667
17,1.389021403,0.694510702
18,1.372333908,0.686166954
19,1.361577891,0.680788946
21,1.410028202,0.705014101
22,1.339567137,0.669783569
23,1.329151549,0.664575775
24,1.318168703,0.659084352
25,1.312423708,0.656211854
26,1.299323753,0.649661877
27,1.287748304,0.643874152
28,1.286528274,0.643264137
29,1.271963639,0.63598182
30,1.271449535,0.635724768
31,1.261542388,0.630771194
32,1.242120162,0.621060081
33,1.240253744,0.620126872
34,1.285113001,0.642556501
35,1.304332784,0.652166392
36,1.277863904,0.638931952
37,1.272346459,0.63617323
38,1.247788395,0.623894198
39,1.23524992,0.61762496
40,1.229251292,0.614625646
41,1.223890911,0.611945456
42,1.205423324,0.602711662
43,1.195782409,0.597891205
44,1.19007295,0.595036475
45,1.179201763,0.589600882
46,1.169504033,0.584752017
47,1.167723768,0.583861884
48,1.157925615,0.578962808
49,1.149981281,0.574990641
50,1.150285902,0.575142951
51,1.134945227,0.567472614
52,1.138096096,0.569048048
55,1.214119211,0.607059606
56,1.211944798,0.605972399
57,1.197124868,0.598562434
58,1.182289215,0.591144608
59,1.164533668,0.582266834
60,1.153555957,0.576777979
61,1.16019871,0.580099355
62,1.171171631,0.585585816
63,1.156341027,0.578170514
64,1.141082456,0.570541228
65,1.13523836,0.56761918
67,1.253084786,0.626542393
68,1.205045359,0.60252268
69,1.191198602,0.595599301
70,1.174638174,0.587319087
71,1.155543205,0.577771603
72,1.153804117,0.576902059
