Model,Split,Battery,RMSE,MAE
Linear Regression,50%,B05,0.02,0.0187
Linear Regression,50%,B07,0.0147,0.011
Linear Regression,50%,B18,0.0217,0.0202
Linear Regression,50%,B33,0.0613,0.0504
Linear Regression,50%,B34,0.0318,0.0241
Linear Regression,50%,B46,0.0496,0.0354
Linear Regression,50%,B47,0.0794,0.0649
Linear Regression,50%,B48,0.0692,0.0559
LSTM,50%,B05,0.0345,0.0327
LSTM,50%,B07,0.0113,0.0081
LSTM,50%,B18,0.013,0.0094
LSTM,50%,B33,0.0383,0.0182
LSTM,50%,B34,0.0181,0.0137
LSTM,50%,B46,0.0153,0.0126
LSTM,50%,B47,0.0137,0.0086
LSTM,50%,B48,0.0137,0.0102
Linear Regression,70%,B05,0.0145,0.01
Linear Regression,70%,B07,0.0198,0.0168
Linear Regression,70%,B18,0.0375,0.0292
Linear Regression,70%,B33,0.0509,0.0347
Linear Regression,70%,B34,0.0369,0.0302
Linear Regression,70%,B46,0.0613,0.0537
Linear Regression,70%,B47,0.079,0.0722
Linear Regression,70%,B48,0.07,0.0633
LSTM,70%,B05,0.0275,0.0264
LSTM,70%,B07,0.0175,0.0165
LSTM,70%,B18,0.0155,0.0106
LSTM,70%,B33,0.0479,0.023
LSTM,70%,B34,0.0199,0.0141
LSTM,70%,B46,0.0195,0.014
LSTM,70%,B47,0.0161,0.012
LSTM,70%,B48,0.0161,0.0123
